issue_id,title,category,category_name,target,target_note,power_abuse,power_abuse_note,power_type,power_type_note,visibility,visibility_note,recourse,recourse_note,triggers_retaliation,tier,scope_note,countries,era_start,era_end,severity_1_5,frequency_1_5,deniability_1_5,cost_money_usd_low,cost_money_usd_high,cost_time_days_low,cost_time_days_high,cost_energy_1_5,evidence,confidence,summary,detail_file,detail_count
LNG-003,Getting your name wrong for years,LNG,"Language, address and naming",anyone,Anyone,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,2,5,5,0,0,0,0,4,estimate,low,"Persistent mispronunciation, casual shortening, or the substitution of an easier name entirely - performed by people who manage unfamiliar words in every other part of their work.",details/LNG-003.csv,4
LNG-004,"Being explained to, slowly",LNG,"Language, address and naming",anyone,Anyone,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,2,5,5,0,0,0,0,4,estimate,low,"Volume, pace and vocabulary adjusted downward on the basis of accent, gender, age or appearance rather than anything the person has said.",details/LNG-004.csv,4
LNG-005,"Interrupted, and then credited to someone else",LNG,"Language, address and naming",worker,A worker,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,3,5,5,0,0,0,0,5,estimate,low,The two-stage version: the point is cut off when she makes it and endorsed when a man repeats it eleven minutes later.,details/LNG-005.csv,4
LNG-006,Calm down,LNG,"Language, address and naming",anyone,Anyone,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,yes,primary,,*,2000,2026,3,5,5,0,0,0,0,5,estimate,low,Tone policing: the substance is set aside and the manner becomes the subject. Whatever the person was describing stops being discussed.,details/LNG-006.csv,4
LNG-007,Complimented instead of assessed,LNG,"Language, address and naming",worker,A worker,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,3,4,4,2000,100000,0,0,4,estimate,low,"The appraisal that discusses how pleasant she is to work with, and the man's that discusses what he delivered.",details/LNG-007.csv,4
LNG-008,"Corrected in public, praised in private",LNG,"Language, address and naming",subordinate,An employee or junior,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,3,4,4,0,0,0,0,5,estimate,low,"The inversion of ordinary management practice, and a reliable instrument: the correction is witnessed and the credit is not.",details/LNG-008.csv,4
LNG-009,The joke you are required to enjoy,LNG,"Language, address and naming",subordinate,An employee or junior,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,3,4,5,0,0,0,0,5,estimate,low,"Said by someone senior, about the target or their group, with the room watching to see the reaction. Laughing endorses it; not laughing is the incident.",details/LNG-009.csv,4
LNG-010,You should smile more,LNG,"Language, address and naming",woman,A woman,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,2,5,5,0,0,0,0,4,estimate,low,"An instruction about facial expression issued to strangers, colleagues and customers, almost exclusively to women, by people who would not accept the same instruction.",details/LNG-010.csv,4
IMM-001,The secondary room,IMM,"Immigration, borders and the officer with no supervisor",migrant,"A migrant, visa applicant or non-citizen",required,Cannot happen without a position of power over the target,custodial,The target is in their custody or care and cannot leave,subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,"US,*",2000,2026,4,5,5,100,3000,1,9,5,official,high,"Pulled out of the queue and held, without arrest, without counsel, for as long as it takes. Nothing has been alleged and nothing has to be.",details/IMM-001.csv,4
IMM-002,"Questions about your family, your politics and your faith",IMM,"Immigration, borders and the officer with no supervisor",migrant,"A migrant, visa applicant or non-citizen",required,Cannot happen without a position of power over the target,discretion,Decides a case with no obligation to explain or be reviewed,subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,yes,primary,,*,2000,2026,4,4,5,0,5000,1,30,5,estimate,low,"Asked at a counter, with the outcome pending, by someone under no obligation to explain the relevance.",details/IMM-002.csv,4
IMM-003,Being told your marriage is not real,IMM,"Immigration, borders and the officer with no supervisor",migrant,"A migrant, visa applicant or non-citizen",required,Cannot happen without a position of power over the target,discretion,Decides a case with no obligation to explain or be reviewed,overt,Recognisable as abuse by a bystander,partial,A mechanism exists and sometimes works,no,primary,,*,2000,2026,5,3,3,1000,30000,90,1095,5,estimate,low,"Interviews conducted separately, questions about bathroom habits and bedding, and a determination about a relationship made by a stranger in an afternoon.",details/IMM-003.csv,4
IMM-004,The sponsor who owns your status,IMM,"Immigration, borders and the officer with no supervisor",worker,A worker,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",overt,Recognisable as abuse by a bystander,nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,4,2,2000,60000,30,1825,5,estimate,low,"Where a visa is tied to one employer, the employer acquires a power no employer should have: the ability to end the worker's right to be in the country.",details/IMM-004.csv,4
BUR-001,Administrative violence: the form as the weapon,BUR,"Bureaucracy: forms, delay and administrative violence",citizen,A member of the public,required,Cannot happen without a position of power over the target,institutional,Acts as or is shielded by an organisation,deniable,Constructed so that the target cannot prove it happened,nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,4,5,5,100,20000,14,730,5,estimate,low,"No individual act is abusive. The requirement is reasonable, the wait is standard, the officer is polite. The aggregate removes somebody's housing, income or medication.",details/BUR-001.csv,4
BUR-002,Being bounced between two offices,BUR,"Bureaucracy: forms, delay and administrative violence",citizen,A member of the public,required,Cannot happen without a position of power over the target,institutional,Acts as or is shielded by an organisation,deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,no,primary,,*,2000,2026,3,5,5,50,3000,14,365,5,estimate,low,Each department is certain the other is responsible. Both are polite. Neither will put it in writing.,details/BUR-002.csv,4
BUR-003,The rule that was applied to you and not to others,BUR,"Bureaucracy: forms, delay and administrative violence",citizen,A member of the public,required,Cannot happen without a position of power over the target,discretion,Decides a case with no obligation to explain or be reviewed,deniable,Constructed so that the target cannot prove it happened,nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,4,5,100,10000,7,365,5,estimate,low,"Selective enforcement of a real rule. The rule exists, it is genuinely being applied, and it is being applied to one person.",details/BUR-003.csv,4
LEG-001,Litigation as the weapon,LEG,"Legal process, courts and representation",anyone,Anyone,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",overt,Recognisable as abuse by a bystander,partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,5,3,3,2000,300000,180,2555,5,estimate,low,The claim does not need to succeed. It needs to cost more than the defendant has.,details/LEG-001.csv,4
LEG-002,Reported to the authorities as a tactic,LEG,"Legal process, courts and representation",anyone,Anyone,enabled,"Happens between equals too, but is transformed by power",institutional,Acts as or is shielded by an organisation,deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,yes,primary,,*,2000,2026,5,3,5,500,50000,30,1095,5,estimate,low,"A referral to the police, immigration, a regulator or child services, made in bad faith, which the institution is then obliged to act on.",details/LEG-002.csv,4
LEG-003,Your lawyer works for the person paying,LEG,"Legal process, courts and representation",anyone,Anyone,required,Cannot happen without a position of power over the target,information,Knows or controls something about the target,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,4,4,4,500,50000,30,730,5,estimate,low,"Company counsel at the grievance meeting, the landlord's solicitor arranging the tenancy, the family lawyer who has acted for his side for twenty years.",details/LEG-003.csv,3
WRK-001,Work assigned to make you fail,WRK,"Workplace power, employment and the manager",subordinate,An employee or junior,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,4,5,2000,150000,30,1095,5,official,high,"Impossible deadlines, missing information, or nothing to do at all. Both directions appear in the Japanese statutory definition of power harassment, and both produce a documented performance problem.",details/WRK-001.csv,5
WRK-002,Isolation as a management technique,WRK,"Workplace power, employment and the manager",subordinate,An employee or junior,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",deniable,Constructed so that the target cannot prove it happened,nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,4,5,0,0,0,0,5,official,high,"Removed from the mailing list, the standup, the informal channel. Nothing is announced and nothing is denied.",details/WRK-002.csv,4
WRK-003,"Credit taken, blame distributed",WRK,"Workplace power, employment and the manager",subordinate,An employee or junior,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,3,5,4,3000,200000,0,0,4,estimate,low,Successes are described in the first person by the manager and failures in the second person about the team.,details/WRK-003.csv,3
WRK-004,The reference as leverage,WRK,"Workplace power, employment and the manager",worker,A worker,required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,4,5,2000,100000,30,730,5,estimate,low,"The power does not end at resignation. It extends to the next job, and everybody knows it.",details/WRK-004.csv,4
WRK-005,Scheduling as punishment,WRK,"Workplace power, employment and the manager",worker,A worker,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,5,5,500,30000,0,0,5,estimate,low,"Shifts, rotas and leave used as a reward and sanction system that appears in no policy document.",details/WRK-005.csv,4
RET-001,What happens after you report,RET,Retaliation and reprisal,worker,A worker,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,5,5,4,5000,200000,90,1825,5,official,high,"The most filed charge category, for seventeen consecutive years, because it attaches to everything else: the complaint generates a second harm that is often worse than the first.",details/RET-001.csv,5
RET-002,"Deny, attack, reverse victim and offender",RET,Retaliation and reprisal,anyone,Anyone,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,4,5,0,0,0,0,5,official,high,"Freyd's DARVO: the perpetrator denies the behaviour, attacks the person confronting them, and reverses the roles so that the complainant becomes the aggressor.",details/RET-002.csv,4
RET-003,The institution protects itself,RET,Retaliation and reprisal,anyone,Anyone,required,Cannot happen without a position of power over the target,institutional,Acts as or is shielded by an organisation,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,4,4,1000,100000,90,1825,5,official,high,"Institutional betrayal: the organisation a person depends on fails to prevent or respond to wrongdoing within it, and the failure is a distinct harm from the original act.",details/RET-003.csv,4
TOK-001,Hired to be counted,TOK,"Tokenism, representation and diversity theatre",worker,A worker,required,Cannot happen without a position of power over the target,institutional,Acts as or is shielded by an organisation,subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,3,4,5,0,0,0,0,5,estimate,low,"Present in the photograph, the panel and the headcount, and absent from the decision.",details/TOK-001.csv,4
TOK-002,The policy that exists to be pointed at,TOK,"Tokenism, representation and diversity theatre",worker,A worker,required,Cannot happen without a position of power over the target,institutional,Acts as or is shielded by an organisation,deniable,Constructed so that the target cannot prove it happened,nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,3,5,5,0,0,0,0,4,estimate,low,"A published commitment, a training module and a reporting line, none of which has ever changed an outcome.",details/TOK-002.csv,4
SEX-001,This for that,SEX,"Sexual harassment, coercion and assault",subordinate,An employee or junior,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,5,3,5,5000,300000,90,1825,5,official,high,"Quid pro quo: a job benefit or condition made contingent on submission. The legal category with the clearest liability rule and the least clear evidence, because it is almost never said in a room with a witness.",details/SEX-001.csv,5
SEX-002,Severe or pervasive,SEX,"Sexual harassment, coercion and assault",worker,A worker,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,4,5,4,0,0,0,0,5,official,high,"The hostile environment standard, and the gap it creates: conduct that is plainly wrong and not yet actionable, which the target must absorb until there is enough of it.",details/SEX-002.csv,4
SEX-003,"Sex for rent, sex for a grade, sex for a shift",SEX,"Sexual harassment, coercion and assault",tenant,A tenant,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",overt,Recognisable as abuse by a bystander,nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,3,4,500,30000,30,730,5,legal,high,"The same transaction outside employment law, where the protections are thinner and the dependency is more total.",details/SEX-003.csv,4
SEX-004,The uniform as the opportunity,SEX,"Sexual harassment, coercion and assault",citizen,A member of the public,required,Cannot happen without a position of power over the target,physical,Can use or threaten force lawfully or otherwise,overt,Recognisable as abuse by a bystander,none,No mechanism exists,yes,primary,,*,2000,2026,5,3,4,0,0,0,0,5,official,high,"Sexual misconduct by people whose authority makes refusal dangerous, against people whose circumstances make reporting impossible.",details/SEX-004.csv,4
SEX-005,Looked at,SEX,"Sexual harassment, coercion and assault",worker,A worker,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,no,primary,,*,2000,2026,3,5,5,0,0,0,0,5,estimate,low,"Nothing is said and nothing is touched. The target is nonetheless certain, and has nothing whatsoever to report.",details/SEX-005.csv,4
SEX-006,Afterwards: what the institution does,SEX,"Sexual harassment, coercion and assault",worker,A worker,required,Cannot happen without a position of power over the target,institutional,Acts as or is shielded by an organisation,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,4,4,2000,150000,90,1825,5,estimate,low,"The complaint is made, and the process becomes the second event - frequently the one the target describes as worse.",details/SEX-006.csv,4
DOM-001,Coercive control,DOM,Domestic and intimate partner,partner,An intimate partner,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,5,5,5,500,50000,365,7300,5,official,high,"Stark's insight: the harm is a pattern of domination, not a series of assaults. Most of the individual acts are lawful, which is exactly why the old incident-based model could not see it.",details/DOM-001.csv,5
DOM-002,Economic control,DOM,Domestic and intimate partner,partner,An intimate partner,enabled,"Happens between equals too, but is transformed by power",economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,5,4,4,1000,80000,365,3650,5,official,high,"One of three recognised domains of economic abuse: restricting the partner's capacity to acquire, use or maintain money at all.",details/DOM-002.csv,4
DOM-003,Employment sabotage,DOM,Domestic and intimate partner,partner,An intimate partner,enabled,"Happens between equals too, but is transformed by power",economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,4,4,2000,150000,365,7300,5,official,high,"The second domain: preventing the partner from getting or keeping work, which removes the money, the independence and the witnesses at once.",details/DOM-003.csv,4
DOM-004,Coerced debt,DOM,Domestic and intimate partner,partner,An intimate partner,enabled,"Happens between equals too, but is transformed by power",economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,5,4,3,2000,100000,1095,7300,5,official,high,"The third domain, and the one that outlasts the relationship by a decade: debt taken in her name, with or without her knowledge.",details/DOM-004.csv,4
DOM-005,The children as the instrument,DOM,Domestic and intimate partner,partner,An intimate partner,enabled,"Happens between equals too, but is transformed by power",institutional,Acts as or is shielded by an organisation,subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,5,4,4,2000,200000,365,5475,5,estimate,low,"Contact, schooling and proceedings used to maintain contact and control after separation, through a system obliged to take him seriously.",details/DOM-005.csv,4
FIN-001,Wage theft,FIN,"Financial, economic and debt",worker,A worker,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",overt,Recognisable as abuse by a bystander,nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,5,3,200,20000,30,730,5,estimate,low,"Unpaid hours, withheld final pay, deductions that were never agreed. The commonest property crime by value, prosecuted least.",details/FIN-001.csv,4
FIN-002,The fee that appears at the end,FIN,"Financial, economic and debt",client,A client or customer,required,Cannot happen without a position of power over the target,information,Knows or controls something about the target,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,3,5,4,20,5000,0,0,4,estimate,low,"Disclosed technically, discovered practically, and unavoidable by the time it is visible.",details/FIN-002.csv,3
FIN-003,Debt collection as harassment,FIN,"Financial, economic and debt",anyone,Anyone,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",overt,Recognisable as abuse by a bystander,partial,A mechanism exists and sometimes works,no,primary,,*,2000,2026,4,4,3,100,20000,30,730,5,estimate,low,"Volume, timing and implication used to produce payment regardless of whether the debt is owed.",details/FIN-003.csv,4
FIN-004,"Family money, taken",FIN,"Financial, economic and debt",elder,An older person,required,Cannot happen without a position of power over the target,information,Knows or controls something about the target,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,5,4,4,1000,200000,90,1825,5,estimate,low,"Exploitation by the person with access: the card, the PIN, the power of attorney, the signature on the transfer.",details/FIN-004.csv,4
FIN-005,Charged more for being poor,FIN,"Financial, economic and debt",anyone,Anyone,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,3,5,4,200,3000,0,0,4,estimate,low,"The poverty premium: worse rates, smaller quantities, prepayment meters, and fees that only apply to accounts with no money in them.",details/FIN-005.csv,3
HOU-001,Making it unliveable until you leave,HOU,"Housing, landlords and tenancy",tenant,A tenant,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,yes,primary,,*,2000,2026,4,4,4,500,20000,30,730,5,legal,high,"Persistent and deliberate disruption of quiet enjoyment, in order to produce a departure that will be recorded as voluntary.",details/HOU-001.csv,4
HOU-002,The repair that never comes,HOU,"Housing, landlords and tenancy",tenant,A tenant,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,5,4,200,10000,30,1095,5,estimate,low,"Disrepair used as leverage, and the enforcement route built so that using it is riskier than living with the damp.",details/HOU-002.csv,3
HOU-003,The deposit,HOU,"Housing, landlords and tenancy",tenant,A tenant,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",partial,A mechanism exists and sometimes works,no,primary,,*,2000,2026,3,5,4,300,5000,30,365,5,estimate,low,"Retained against invented damage, at the exact moment the tenant needs it for the next deposit.",details/HOU-003.csv,3
HOU-004,Refused a home for who you are,HOU,"Housing, landlords and tenancy",tenant,A tenant,required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,deniable,Constructed so that the target cannot prove it happened,nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,4,5,5,200,8000,14,365,5,estimate,low,"Stated as availability, timing or referencing criteria, never as the actual ground.",details/HOU-004.csv,3
ACA-001,The supervisor who owns your degree,ACA,"Academic supervision, students and authorship",student,A student or trainee,required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,4,4,5000,200000,365,2555,5,official,high,A structural power imbalance with almost no external check: the person who decides whether years of work becomes a qualification is also the person whose conduct there is no safe way to report.,details/ACA-001.csv,5
ACA-002,Authorship taken,ACA,"Academic supervision, students and authorship",student,A student or trainee,required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,4,4,10000,300000,365,3650,5,official,high,The currency of an academic career is allocated by the person with the most to gain from allocating it to themselves.,details/ACA-002.csv,5
ACA-003,The student as free labour,ACA,"Academic supervision, students and authorship",student,A student or trainee,required,Cannot happen without a position of power over the target,economic,"Controls money, wages, debt or housing",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,4,5,4,3000,80000,365,1825,5,estimate,low,"Knowledgeable, bright and inexpensive, which the literature names as precisely what makes them targets.",details/ACA-003.csv,3
ACA-004,Graded by the person you refused,ACA,"Academic supervision, students and authorship",student,A student or trainee,required,Cannot happen without a position of power over the target,authority,"Formal rank: can instruct, discipline, dismiss",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,5,3,5,2000,100000,90,1095,5,estimate,low,"The assessment relationship makes any personal advance a coercive one, whether or not it is intended that way.",details/ACA-004.csv,3
ACA-005,"Kept, not developed",ACA,"Academic supervision, students and authorship",student,A student or trainee,required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,deniable,Constructed so that the target cannot prove it happened,nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,4,3,5,10000,150000,365,1825,5,estimate,low,The opposite instrument: a student valuable enough that finishing is discouraged.,details/ACA-005.csv,3
