issue_id,title,category,category_name,applies_to,applies_to_note,war_form,war_form_note,onset,onset_note,duration,duration_note,generation,transmission,transmission_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
INF-001,The blackout,INF,"Information war: the blackout, the rumour, not knowing",anyone_in_war,Anyone physically present in a war zone,information,"Blackouts, jamming, propaganda, disinformation",immediate,Shows up during the event or within days,temporary,"Resolves, given safety and time",g0,direct,The person was there,primary,,*,1980,2026,,5,4,yes,yes,0,2000,1,60,5,journalism,high,Cutting a population's connectivity is a weapon used on both sides of a border at once: it isolates the people inside and it terrorises the people outside who cannot reach them.,details/INF-001.csv,6
INF-002,"Being lied to by everybody, on purpose",INF,"Information war: the blackout, the rumour, not knowing",civilians,Non-combatant civilians specifically,information,"Blackouts, jamming, propaganda, disinformation",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,5,partial,partial,0,0,0,0,5,estimate,low,Every party to a modern conflict runs an information operation aimed at the civilian population. The effect on an individual is the removal of any reliable basis for deciding what to do.,details/INF-002.csv,4
INF-003,Watching your own city on a stranger's timeline,INF,"Information war: the blackout, the rumour, not knowing",diaspora,Those outside the country with people inside it,information,"Blackouts, jamming, propaganda, disinformation",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",all,social,"Reaches the next generation through silence, story, ritual and community",secondary,,*,1980,2026,,4,5,no,partial,0,0,0,0,5,journalism,medium,"The war arrives as an infinite feed of graphic content about specific streets the viewer knows, interleaved with advertising and other people's holidays.",details/INF-003.csv,4
PTS-001,"PTSD, as it actually presents",PTS,"Post-traumatic stress, and the kind that has no 'post'",anyone_in_war,Anyone physically present in a war zone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,5,partial,partial,500,30000,180,7300,5,official,high,"The diagnosis is well known and the presentation is not. It is mostly not flashbacks; it is sleep, irritability, concentration, numbness, and an avoidance pattern the person has rationalised so thoroughly they no longer notices it.",details/PTS-001.csv,6
PTS-002,Continuous traumatic stress: when there is no 'post',PTS,"Post-traumatic stress, and the kind that has no 'post'",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,5,partial,partial,0,0,0,0,5,official,high,"PTSD assumes the trauma has ended. For a population under ongoing or recurring threat it has not, which makes hypervigilance a correct assessment of reality rather than a symptom to be treated.",details/PTS-002.csv,6
PTS-003,The body keeps the bill: physical health after war stress,PTS,"Post-traumatic stress, and the kind that has no 'post'",anyone_in_war,Anyone physically present in a war zone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",latent_decades,"Shows up fifteen to forty years later, or in the next generation",permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,secondary,,*,1980,2026,,4,4,partial,no,5000,200000,365,10950,4,estimate,low,"Chronic threat exposure is not confined to the mind. It shows up as cardiovascular disease, metabolic change, immune dysfunction and pain, on a delay of ten to thirty years.",details/PTS-003.csv,4
PTS-004,"Not being able to describe it, in any language",PTS,"Post-traumatic stress, and the kind that has no 'post'",anyone_in_war,Anyone physically present in a war zone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,4,partial,partial,500,15000,180,3650,5,estimate,low,"Recovery frameworks are built on the assumption that the experience can be narrated. A large part of war exposure is encoded as sensation, not story, and the person has no words for it in their first language, let alone their third.",details/PTS-004.csv,4
MOR-001,"Survivor guilt, in its specific forms",MOR,"Moral injury, guilt, and the ones who lived",anyone_in_war,Anyone physically present in a war zone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,4,partial,partial,0,0,0,0,5,journalism,medium,"Not a vague sadness. A set of concrete, recurring propositions - I took the seat, I did not go back, I was asleep - each of which the person has examined thousands of times and cannot dismiss.",details/MOR-001.csv,5
MOR-002,"Moral injury: doing, or failing to do",MOR,"Moral injury, guilt, and the ones who lived",anyone_in_war,Anyone physically present in a war zone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,3,partial,no,0,0,0,0,5,estimate,low,"Distinct from fear-based trauma. Moral injury is the damage from having acted, or failed to act, against one's own code - and it responds poorly to treatments designed for fear.",details/MOR-002.csv,5
MOR-003,Rage at your own side,MOR,"Moral injury, guilt, and the ones who lived",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,4,partial,partial,0,0,0,0,5,estimate,low,"One of the least discussed effects. Civilians under bombardment frequently direct their strongest anger not at the attacker but at their own authorities, for the shelter that was not built and the warning that did not come.",details/MOR-003.csv,4
CHD-001,Development does not pause for the war,CHD,"Children: development, school, and the years that do not come back",children,"Children and adolescents, whose development is running while it happens",kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,5,yes,no,2000,100000,365,5475,5,official,high,"An adult loses time. A child loses a stage. Language, attachment, literacy and social learning run on windows, and a window missed is not reopened by the conflict ending.",details/CHD-001.csv,6
CHD-002,Growing up with a parent who is not fully present,CHD,"Children: development, school, and the years that do not come back",children,"Children and adolescents, whose development is running while it happens",aftermath,"The peace afterwards, which is not the end of the effect",delayed,Shows up months to a few years later,generational,Outlives the person it started in,g1,parenting,Reaches the child through how the parent is able to parent,primary,,*,1980,2026,,4,4,partial,partial,0,0,0,0,5,estimate,low,The child of a war-injured parent is not a bystander. Parental PTSD changes the emotional climate of the household every day for the whole of a childhood.,details/CHD-002.csv,5
CHD-003,Children with no schooling system to return to,CHD,"Children: development, school, and the years that do not come back",children,"Children and adolescents, whose development is running while it happens",kinetic,"Bombs, missiles, artillery, invasion, ground fighting",delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,4,4,yes,no,1000,50000,365,2555,5,estimate,low,"The institutions are not merely closed. Teachers are displaced or dead, buildings are rubble or shelter, records are destroyed, and the qualification a child needs proof of has no issuing authority left.",details/CHD-003.csv,4
CHD-004,"Play, and what replaces it",CHD,"Children: development, school, and the years that do not come back",children,"Children and adolescents, whose development is running while it happens",kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,3,4,partial,partial,0,0,0,0,4,estimate,low,"Children process the unmanageable through play, and under war the play becomes re-enactment: checkpoints, funerals, bombing. Adults find it disturbing and stop it, which removes the only processing mechanism the child has.",details/CHD-004.csv,4
NEU-001,Prenatal stress and neurodevelopmental risk,NEU,Neurodevelopment: what war does before birth,unborn,"Those exposed in utero, or conceived after",kinetic,"Bombs, missiles, artillery, invasion, ground fighting",latent_decades,"Shows up fifteen to forty years later, or in the next generation",permanent,Does not resolve; the person adapts around it,g1,in_utero,"Exposed before birth, through the mother's physiology",primary,,*,1980,2026,,4,3,partial,no,20000,400000,3650,21900,5,official,medium,"Exposure begins before birth. Maternal stress during pregnancy is associated with elevated risk of ASD and ADHD in the offspring - elevated, not determined, and the distinction is the whole of the honest version.",details/NEU-001.csv,6
NEU-002,Famine and deprivation in utero,NEU,Neurodevelopment: what war does before birth,unborn,"Those exposed in utero, or conceived after",siege,"Encirclement, blockade, deliberate deprivation",latent_decades,"Shows up fifteen to forty years later, or in the next generation",generational,Outlives the person it started in,g1,in_utero,"Exposed before birth, through the mother's physiology",primary,,*,1980,2026,,4,3,partial,no,0,0,0,0,4,official,high,"Siege and blockade produce maternal malnutrition, and the best-documented prenatal exposure in all of human epidemiology is a famine caused by a war.",details/NEU-002.csv,5
NEU-003,"Blast, toxicants and the developing brain",NEU,Neurodevelopment: what war does before birth,children,"Children and adolescents, whose development is running while it happens",kinetic,"Bombs, missiles, artillery, invasion, ground fighting",delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g1,direct,The person was there,primary,,*,1980,2026,,4,3,partial,no,5000,200000,0,0,4,estimate,low,"Beyond stress: war deposits heavy metals, combustion products and munition residues into the air, water and soil that a child is growing in.",details/NEU-003.csv,4
CHM-001,Sulfur mustard: the exposure that keeps arriving,CHM,"Chemical weapons: the exposure, and the forty years after it",exposed,"Those with a specific exposure - a gas attack, a collapse, a siege",chemical,Chemical and other prohibited weapons,latent_decades,"Shows up fifteen to forty years later, or in the next generation",permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,"IR,IQ",1980,2026,,5,3,yes,no,10000,300000,3650,16425,5,official,high,"Mustard gas has low mortality and very high morbidity. Its defining feature is latency: the eye, lung and skin damage that disables a survivor often appears fifteen to twenty years after an attack they thought they had survived.",details/CHM-001.csv,7
CHM-002,Halabja: gas used on a town,CHM,"Chemical weapons: the exposure, and the forty years after it",civilians,Non-combatant civilians specifically,genocidal,Organised destruction of a group as a group,latent_decades,"Shows up fifteen to forty years later, or in the next generation",generational,Outlives the person it started in,all,social,"Reaches the next generation through silence, story, ritual and community",primary,,IQ,1988,2026,,5,2,yes,no,5000,200000,3650,14600,5,official,high,"The largest chemical attack on a civilian-populated area in history, and the best long-run evidence available for what that does to a population and to the generations after it.",details/CHM-002.csv,7
CHM-003,Living with an exposure you cannot prove,CHM,"Chemical weapons: the exposure, and the forty years after it",exposed,"Those with a specific exposure - a gas attack, a collapse, a siege",chemical,Chemical and other prohibited weapons,delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,4,3,yes,no,1000,100000,365,7300,5,estimate,low,"Compensation, treatment and recognition all require documentation of exposure. Chemical attacks are not administered with receipts, and the people who could confirm it are frequently dead.",details/CHM-003.csv,4
CHM-004,"What healing actually looks like, chemically",CHM,"Chemical weapons: the exposure, and the forty years after it",exposed,"Those with a specific exposure - a gas attack, a collapse, a siege",chemical,Chemical and other prohibited weapons,immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,3,partial,no,2000,20000,365,14600,5,official,medium,"There is no cure for sulfur mustard injury. Management is symptomatic, lifelong and progressive, and the honest clinical framing is slowing a decline rather than recovering from an event.",details/CHM-004.csv,5
SEN-001,"Hearing, after blast",SEN,"The senses: hearing, sight, smell and touch after blast and gas",exposed,"Those with a specific exposure - a gas attack, a collapse, a siege",kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,4,4,partial,no,1000,20000,365,14600,5,official,high,"Tinnitus and hearing loss are among the commonest consequences of blast exposure, and a normal audiogram does not rule out a functional deficit.",details/SEN-001.csv,6
SEN-002,"Sight, smell and the senses that carry the memory",SEN,"The senses: hearing, sight, smell and touch after blast and gas",exposed,"Those with a specific exposure - a gas attack, a collapse, a siege",chemical,Chemical and other prohibited weapons,delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,4,3,partial,no,500,30000,0,0,5,estimate,low,Vision loss after blast and gas is well documented. Smell is the one nobody treats and the one that reactivates everything.,details/SEN-002.csv,4
SEN-003,Blast traumatic brain injury without a visible head injury,SEN,"The senses: hearing, sight, smell and touch after blast and gas",exposed,"Those with a specific exposure - a gas attack, a collapse, a siege",kinetic,"Bombs, missiles, artillery, invasion, ground fighting",delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,3,partial,no,5000,150000,365,10950,5,official,high,"Overpressure injures the brain without impact. A person with no wound, no loss of consciousness and a normal scan can have chronic post-concussive symptoms for fifteen years and more.",details/SEN-003.csv,5
DSB-001,Amputation and the life built around it,DSB,"Permanent disability, physical and psychiatric",disabled,Those left with a permanent impairment,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,3,yes,no,3000,200000,365,18250,5,estimate,low,"A prosthesis is not a solution, it is a subscription. Sockets need refitting, components wear out, children outgrow limbs every year, and all of it must be paid for in a country whose supply chain is under sanction.",details/DSB-001.csv,5
DSB-002,"Psychiatric disability, and the fact that it is a disability",DSB,"Permanent disability, physical and psychiatric",disabled,Those left with a permanent impairment,aftermath,"The peace afterwards, which is not the end of the effect",delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,4,yes,no,10000,400000,1825,18250,5,estimate,low,"Severe, chronic war-related psychiatric illness is disabling in exactly the way a physical injury is, and is treated by almost every system - medical, legal, familial - as something the person could stop doing.",details/DSB-002.csv,5
DSB-003,Being disabled in a country that was damaged too,DSB,"Permanent disability, physical and psychiatric",disabled,Those left with a permanent impairment,aftermath,"The peace afterwards, which is not the end of the effect",delayed,Shows up months to a few years later,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,secondary,,*,1980,2026,,4,3,yes,partial,0,0,0,0,5,estimate,low,"Disability is produced by the interaction of an impairment with an environment. War damages the environment at the same time as it produces the impairment, so the same injury is far more disabling than it would be elsewhere.",details/DSB-003.csv,3
TRT-001,There is no mental health system left,TRT,"Treatment: what healing actually costs, and how far it goes",anyone_in_war,Anyone physically present in a war zone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,5,yes,partial,0,20000,180,3650,5,official,high,The collapse of services is simultaneous with the surge in need. The population most requiring psychiatric care is in the place where psychiatric care has just been destroyed.,details/TRT-001.csv,4
TRT-002,"Being treated abroad, by people with no reference for it",TRT,"Treatment: what healing actually costs, and how far it goes",diaspora,Those outside the country with people inside it,aftermath,"The peace afterwards, which is not the end of the effect",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,4,partial,partial,1000,30000,180,2190,5,estimate,low,"Resettled survivors reach functioning health systems and encounter clinicians with no framework for the event, no shared language and a fifty-minute appointment.",details/TRT-002.csv,5
TRT-003,"What recovery actually means, and what it does not",TRT,"Treatment: what healing actually costs, and how far it goes",anyone_in_war,Anyone physically present in a war zone,aftermath,"The peace afterwards, which is not the end of the effect",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,3,4,partial,partial,0,0,0,0,4,estimate,low,Some of this resolves. Some of it becomes manageable. Some of it is permanent. Treating all three as the same category is how both patients and clinicians end up feeling they have failed.,details/TRT-003.csv,4
GNC-001,Being attacked as a category rather than an individual,GNC,Genocide and mass atrocity: what it destroys beyond the dead,civilians,Non-combatant civilians specifically,genocidal,Organised destruction of a group as a group,immediate,Shows up during the event or within days,generational,Outlives the person it started in,all,social,"Reaches the next generation through silence, story, ritual and community",primary,,*,1980,2026,,5,2,partial,no,0,0,0,0,5,estimate,low,"Ordinary war damage is impersonal - you were in the wrong place. Genocidal violence is the opposite: it is precisely about who you are, and that changes what the survivor concludes about themselves.",details/GNC-001.csv,5
GNC-002,"Sexual violence as a weapon, and the silence around it",GNC,Genocide and mass atrocity: what it destroys beyond the dead,women,Where the effect lands specifically or disproportionately on women,genocidal,Organised destruction of a group as a group,immediate,Shows up during the event or within days,generational,Outlives the person it started in,all,social,"Reaches the next generation through silence, story, ritual and community",primary,,*,1980,2026,,5,3,yes,no,500,50000,365,18250,5,estimate,low,"Mass sexual violence is a standard instrument of genocidal and ethnic campaigns, and it is the one category of war injury that the victim's own community most reliably punishes them for.",details/GNC-002.csv,5
GNC-003,Erasure: when the place stops being yours,GNC,Genocide and mass atrocity: what it destroys beyond the dead,civilians,Non-combatant civilians specifically,genocidal,Organised destruction of a group as a group,delayed,Shows up months to a few years later,generational,Outlives the person it started in,all,social,"Reaches the next generation through silence, story, ritual and community",primary,,*,1980,2026,,4,2,partial,no,0,0,0,0,4,estimate,low,"Renamed streets, demolished cemeteries, rewritten curricula, a new population in the same houses. The survivor's memory becomes officially incorrect.",details/GNC-003.csv,4
SAN-001,A war with no explosion and the same casualties,SAN,Sanctions: war conducted through the economy,sanctioned_population,"A civilian population under economic war, whether or not shots are fired",economic,"Sanctions, snapback, de-risking, financial exclusion",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,IR,2006,2026,,5,5,partial,partial,500,50000,365,7300,5,official,high,"Comprehensive sanctions are an instrument of war aimed at a civilian population. They produce mortality, disability and psychiatric illness through the health system, the supply chain and the currency instead of through ordnance.",details/SAN-001.csv,8
SAN-002,Domestic production struck as well,SAN,Sanctions: war conducted through the economy,sanctioned_population,"A civilian population under economic war, whether or not shots are fired",economic,"Sanctions, snapback, de-risking, financial exclusion",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,IR,2025,2026,,5,3,yes,partial,500,30000,0,0,5,journalism,medium,"Where sanctions are combined with kinetic strikes on pharmaceutical and medical manufacturing, the substitution route that made the sanctions survivable is removed at the same time.",details/SAN-002.csv,3
SAN-003,Sanctions as a planning-horizon weapon,SAN,Sanctions: war conducted through the economy,sanctioned_population,"A civilian population under economic war, whether or not shots are fired",economic,"Sanctions, snapback, de-risking, financial exclusion",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,secondary,,IR,2006,2026,,4,5,partial,partial,0,0,0,0,5,estimate,low,"The most durable psychological effect of long-running economic war is the removal of the future as a usable concept. Nobody can plan five years ahead, so nobody does, and the behaviour that produces is then blamed on the culture.",details/SAN-003.csv,5
SAN-004,Mental health care under economic war,SAN,Sanctions: war conducted through the economy,sanctioned_population,"A civilian population under economic war, whether or not shots are fired",economic,"Sanctions, snapback, de-risking, financial exclusion",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,IR,2012,2026,,4,4,partial,partial,200,10000,30,1825,5,estimate,low,"Psychiatric medicine is import-dependent, psychotherapy is unaffordable at a collapsed exchange rate, and the population needing both is the one the sanctions and the war are being applied to.",details/SAN-004.csv,3
SIE-001,Hunger as a psychological instrument,SIE,"Siege, blockade and hunger",civilians,Non-combatant civilians specifically,siege,"Encirclement, blockade, deliberate deprivation",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,3,yes,partial,100,10000,30,1095,5,estimate,low,"Deliberate deprivation does specific and well-characterised things to cognition and behaviour, and those effects are then presented as evidence about the character of the besieged population.",details/SIE-001.csv,4
SIE-002,"Water, sewage, and the dignity floor",SIE,"Siege, blockade and hunger",civilians,Non-combatant civilians specifically,siege,"Encirclement, blockade, deliberate deprivation",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,3,partial,yes,0,0,0,0,5,estimate,low,"The psychological literature on siege focuses on food. Survivors more often describe sanitation - the specific humiliation of having nowhere clean to wash, defecate or menstruate.",details/SIE-002.csv,4
MOB-001,The passport as a wall,MOB,"Immobility: the passport, the visa, the country you cannot leave or re-enter",sanctioned_population,"A civilian population under economic war, whether or not shots are fired",mobility,"Passports, visas, closed airspace, bans on movement",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,IR,2000,2026,,4,5,yes,partial,500,20000,30,1825,5,official,high,"A travel document that no one will accept converts the entire world outside the border into a theoretical place. That is a psychological condition, not an administrative one.",details/MOB-001.csv,6
MOB-002,Not being able to go back either,MOB,"Immobility: the passport, the visa, the country you cannot leave or re-enter",diaspora,Those outside the country with people inside it,mobility,"Passports, visas, closed airspace, bans on movement",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,4,yes,no,0,20000,0,14600,5,estimate,low,"Immobility is symmetrical and the second direction is discussed far less. For many, returning means conscription, an open case, an exit ban, or simply not being certain of getting out again.",details/MOB-002.csv,4
MOB-003,"Statelessness in practice, if not in law",MOB,"Immobility: the passport, the visa, the country you cannot leave or re-enter",diaspora,Those outside the country with people inside it,mobility,"Passports, visas, closed airspace, bans on movement",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,3,yes,partial,1000,30000,180,3650,5,estimate,low,"Someone whose passport cannot be renewed abroad, whose country's consulate is closed, and whose host country will not regularise them, has all the properties of statelessness without the legal status that comes with protections.",details/MOB-003.csv,4
FIN-001,The account closed in a country you are not at war with,FIN,Financial exclusion abroad: being a nationality a bank cannot afford,diaspora,Those outside the country with people inside it,economic,"Sanctions, snapback, de-risking, financial exclusion",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,"AE,GE,AM,TR,MY,US",2011,2026,,4,4,yes,partial,500,50000,30,730,5,journalism,high,"De-risking means a bank in a third country closes an ordinary person's account because of where they were born. It is not a sanction, it is a bank deciding the person is not worth the compliance cost.",details/FIN-001.csv,8
FIN-002,Squeezed from both sides at once,FIN,Financial exclusion abroad: being a nationality a bank cannot afford,diaspora,Those outside the country with people inside it,economic,"Sanctions, snapback, de-risking, financial exclusion",delayed,Shows up months to a few years later,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,3,yes,partial,1000,200000,0,0,5,estimate,low,"Foreign banks close the account for being Iranian, and the Iranian state freezes assets of citizens abroad it disapproves of. The person is excluded by both jurisdictions simultaneously.",details/FIN-002.csv,4
