real_name,misspelled_name,origin,why_it_lands,changed
Garcia Lopez,Garcialopez,mexico,"two surnames, one field - the standard Mexican naming system meets the standard American form",yes
Jhonny,Jhonny,mexico,"not misspelled by anyone here - his parents spelled it that way, and he will explain it for the rest of his life",no
Kyle,Kyle,usa,"nothing happens - no clerk mishears it, no field truncates it, no officer asks him to spell it. This row exists so the difference is visible",no
Susan,Susan,usa,"unchanged",no
Gary,Gary,usa,"unchanged",no
Danny,Danny,usa,"unchanged",no
Priya,Preeya,usa,"the one American in this list whose name does get rewritten, because it is not from here",yes
Mrs Hale,Hale,usa,"unchanged",no
Brandon,Brandon,usa,"unchanged",no
Ashley,Ashley,usa,"unchanged",no
Jennifer,Jennifer,usa,"unchanged",no
Michael,Michael,usa,"unchanged",no
