issue_id,title,category,category_name,applies_to,applies_to_note,imposed_by,imposed_by_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
HLT-002,The waiting list,HLT,Illness and injury that simply arrives,everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,4,4,partial,partial,0,20000,60,730,5,estimate,low,"Where care is rationed by queue rather than price, the wait is assigned to you without negotiation and without a date you can plan around.",details/HLT-002.csv,4
MED-001,The illness generates an invoice,MED,Being billed for it: the health payment system you were born into,everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,US,2000,2026,,5,4,partial,partial,500,100000,30,730,5,estimate,low,"In systems that bill individuals, a medical event produces a bill nobody quoted in advance, for an amount nobody can state beforehand, from providers you did not choose.",details/MED-001.csv,8
MED-002,Cover attached to a job,MED,Being billed for it: the health payment system you were born into,situational,"Only if you drive, rent, have children, and so on",system,"The rules, institutions and markets you were born into and must comply with",primary,Anyone whose health cover runs through employment.,US,2000,2026,,5,3,partial,partial,500,30000,0,365,5,estimate,low,"Where health cover comes through an employer, losing or changing work removes medical care at the same moment it removes income - and staying in a bad job becomes a medical decision.",details/MED-002.csv,3
BOD-001,The body slows on a timetable you do not set,BOD,The body's own schedule,everyone,Essentially unavoidable for any adult,biology,"The body and its schedule - ageing, injury, decline",primary,,*,2000,2026,,4,5,no,no,500,20000,0,0,4,estimate,low,"Recovery lengthens, sleep degrades, eyesight goes, strength declines. Gradual enough to be invisible, cumulative enough to be decisive, entirely non-negotiable.",details/BOD-001.csv,5
CRI-001,Being burgled or robbed,CRI,Crime and other people's deliberate acts,most_adults,Faced by most adults at some point,others,"Another person's error, negligence, crime or decision, landing on you",primary,,*,2000,2026,,4,3,no,partial,300,20000,7,180,5,estimate,low,"Someone decides to take your things. The loss is the smallest part; the aftermath is locksmiths, insurers, reference numbers, and not feeling right in your own rooms.",details/CRI-001.csv,6
CRI-002,On the receiving end of someone else's driving,CRI,Crime and other people's deliberate acts,situational,"Only if you drive, rent, have children, and so on",others,"Another person's error, negligence, crime or decision, landing on you",primary,"Anyone on a road, including on foot or a bike.",*,2000,2026,,5,3,partial,partial,500,50000,30,730,5,estimate,low,"Another person's speed, phone or inattention arrives in your life at a junction, and everything that follows is yours to administer.",details/CRI-002.csv,3
DIS-001,Where you live decides which disaster you get,DIS,"Weather, disaster and where you happen to live",everyone,Essentially unavoidable for any adult,chance,"Accident, illness, weather, timing - nobody decided it",primary,,*,2000,2026,,5,3,partial,partial,1000,200000,7,1095,5,estimate,low,"Flood, wildfire, hurricane, earthquake, heatwave, freeze. The exposure comes with the ground, and the ground came with the job, the family or the price.",details/DIS-001.csv,6
FRA-001,"Someone is trying to defraud you, professionally",FRA,"Fraud, scams and identity theft",everyone,Essentially unavoidable for any adult,others,"Another person's error, negligence, crime or decision, landing on you",primary,,*,2000,2026,,4,5,no,partial,100,50000,7,365,5,estimate,low,"Calls, texts, emails and messages engineered by people who do this full time, arriving whether or not you engage with anything.",details/FRA-001.csv,6
FRA-002,Your data was lost by someone you never dealt with,FRA,"Fraud, scams and identity theft",everyone,Essentially unavoidable for any adult,others,"Another person's error, negligence, crime or decision, landing on you",primary,,*,2000,2026,,3,5,no,no,0,20000,2,180,4,estimate,low,Organisations you have no relationship with hold records about you and lose them. Nothing you did caused it and nothing you can do fixes it.,details/FRA-002.csv,4
WRK-001,The job ends because someone else did arithmetic,WRK,"Work, layoffs and career risk",most_adults,Faced by most adults at some point,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,5,4,partial,partial,5000,80000,60,540,5,estimate,low,"Layoffs, restructures, acquisitions and closures arrive on a timetable set elsewhere. The decision is about headcount and cost centres, not about you, and the income stops anyway.",details/WRK-001.csv,5
WRK-002,The manager you were assigned,WRK,"Work, layoffs and career risk",most_adults,Faced by most adults at some point,others,"Another person's error, negligence, crime or decision, landing on you",primary,,*,2000,2026,,4,5,no,partial,0,50000,0,1095,5,estimate,low,"Whether a job is tolerable is largely one person, allocated to you, who can change without notice and without any change to your contract.",details/WRK-002.csv,3
WRK-003,"Working while ill, because the alternative is worse",WRK,"Work, layoffs and career risk",most_adults,Faced by most adults at some point,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,4,5,no,partial,200,8000,0,90,5,estimate,low,"Where sick pay is thin or absent, illness becomes a financial calculation, and the calculation usually says go in.",details/WRK-003.csv,3
HOM-001,Your largest expense is set annually by someone else,HOM,"Housing, rent and the things that break",situational,"Only if you drive, rent, have children, and so on",system,"The rules, institutions and markets you were born into and must comply with",primary,Applies to renters.,*,2000,2026,,5,5,partial,no,1500,20000,7,60,5,estimate,low,"For renters, the price of having somewhere to live is decided by another party once a year, and the only counter-move costs more than accepting it.",details/HOM-001.csv,5
HOM-002,"Things break, and they break together",HOM,"Housing, rent and the things that break",situational,"Only if you drive, rent, have children, and so on",chance,"Accident, illness, weather, timing - nobody decided it",primary,,*,2000,2026,,3,5,no,yes,200,15000,1,30,4,estimate,low,"Boiler, roof, car, washing machine, phone. Each has a lifespan, they were often bought at the same time, and they fail at whatever moment they fail at.",details/HOM-002.csv,4
FAM-001,Someone will need looking after,FAM,"Family, care and bereavement",most_adults,Faced by most adults at some point,chance,"Accident, illness, weather, timing - nobody decided it",primary,,*,2000,2026,,5,4,partial,no,5000,200000,365,3650,5,estimate,low,"An ageing parent, a sick partner, a child with additional needs. It arrives unscheduled, lasts years, is unpaid, and lands on whoever is nearest or least able to refuse.",details/FAM-001.csv,5
FAM-002,"Bereavement, and the paperwork of it",FAM,"Family, care and bereavement",everyone,Essentially unavoidable for any adult,chance,"Accident, illness, weather, timing - nobody decided it",primary,,*,2000,2026,,5,5,partial,no,3000,30000,90,730,5,estimate,low,"Grief arrives with an administrative workload - registration, probate, accounts, utilities, pensions - executed by the person least able to concentrate.",details/FAM-002.csv,4
TEC-001,Locked out of your own account,TEC,"Technology, data and digital dependency",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,4,4,partial,partial,0,10000,1,180,5,estimate,low,"Identity online is a chain of recovery methods. Break one link - a dead number, a lost authenticator, a closed email - and the chain does not reconnect.",details/TEC-001.csv,4
TEC-002,The thing you relied on is discontinued,TEC,"Technology, data and digital dependency",everyone,Essentially unavoidable for any adult,others,"Another person's error, negligence, crime or decision, landing on you",primary,,*,2000,2026,,3,4,partial,partial,0,5000,1,60,5,estimate,low,"Services close, formats are abandoned, apps are bought and shut, devices stop receiving updates. The decision is a company's; the migration is yours.",details/TEC-002.csv,4
TRA-001,"You must have a car, because of how the place was built",TRA,Transport and getting places,situational,"Only if you drive, rent, have children, and so on",system,"The rules, institutions and markets you were born into and must comply with",primary,Anywhere without usable public transport.,*,2000,2026,,4,5,partial,no,3000,12000,10,30,4,estimate,low,"Where there is no viable transit, car ownership is not a preference - it is a condition of employment, imposed by planning decisions made before you arrived.",details/TRA-001.csv,3
TRA-002,The commute,TRA,Transport and getting places,situational,"Only if you drive, rent, have children, and so on",system,"The rules, institutions and markets you were born into and must comply with",primary,Applies to commuters.,*,2000,2026,,3,5,no,partial,1000,6000,120,250,4,estimate,low,"A daily journey is the largest recurring involuntary time cost most working people carry. It is unpaid, not counted as work, and mostly set by where housing is affordable.",details/TRA-002.csv,3
EDU-001,The credential you must hold to be considered,EDU,Credentials you must hold to be considered,most_adults,Faced by most adults at some point,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,4,4,partial,partial,10000,200000,365,2190,4,estimate,low,"Employers set entry requirements. Roles that once needed a school certificate now need a degree, without a corresponding change in the work - so the qualification is a toll, not a choice.",details/EDU-001.csv,4
SOC-001,The structures that made friends are removed,SOC,"Social life, friendship and loneliness",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,5,no,partial,0,3000,0,0,4,estimate,low,"School, university and early jobs supply repeated unplanned contact. Adult life does not, so friendship becomes something that must be organised or it ends.",details/SOC-001.csv,3
LAW-001,You cannot afford to enforce your own rights,LAW,"Legal, contracts and disputes",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,4,4,partial,partial,500,30000,90,1095,5,estimate,low,"Most everyday legal wrongs are worth less than the cost of pursuing them, so the right exists and the remedy does not - and the other party knows it.",details/LAW-001.csv,4
LAW-002,Compelled participation,LAW,"Legal, contracts and disputes",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,3,partial,no,100,3000,1,30,4,estimate,low,"Jury service, tax filing, census, registration, court witness summons. Duties that take real time, are not optional, and are scheduled by the state.",details/LAW-002.csv,3
TIM-001,Everything you have requires upkeep,TIM,"Maintenance, queues and entropy",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,5,no,no,1000,20000,30,120,4,estimate,low,"Possessions, accounts, documents, health and qualifications all decay without input. The work returns you to baseline; none of it is progress.",details/TIM-001.csv,3
TIM-002,The queue,TIM,"Maintenance, queues and entropy",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,5,partial,no,0,1000,5,40,4,estimate,low,"Waiting is allocated to you by whoever is providing the thing, in units they do not pay for and you cannot spend elsewhere.",details/TIM-002.csv,3
LUC-001,You were born into a cohort and the cohort has a price,LUC,"Luck, timing and the cohort you were born into",everyone,Essentially unavoidable for any adult,chance,"Accident, illness, weather, timing - nobody decided it",primary,,*,2000,2026,,4,5,no,no,10000,500000,0,0,4,estimate,low,"House prices, interest rates, the labour market in your graduation year, whether a pandemic falls in your twenties. None is chosen, and all of it compounds.",details/LUC-001.csv,3
PSY-001,The volume of small compulsory decisions,PSY,Psychological load and what it costs downstream,everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",secondary,,*,2000,2026,,3,5,no,yes,200,3000,2,20,5,estimate,low,"Tariffs, plans, policies, renewals and options all require comparison. The choosing is imposed; the alternative is paying the default price.",details/PSY-001.csv,3
PSY-002,Ambient activation that never resolves,PSY,Psychological load and what it costs downstream,most_adults,Faced by most adults at some point,system,"The rules, institutions and markets you were born into and must comply with",secondary,,*,2000,2026,,3,5,no,partial,0,50000,0,0,5,estimate,low,"News, notifications and always-on messaging produce a baseline of alertness nobody opted into, and it does not switch off because the devices do not.",details/PSY-002.csv,3
