life_id,title,category,category_name,applies_to,applies_to_note,life_stage,stage_note,requires,requires_note,triggers,trigger_count,culture,tier,scope_note,era_start,era_end,joy_1_5,frequency_1_5,cost_money_usd_low,cost_money_usd_high,time_days_low,time_days_high,restores_energy_1_5,evidence,confidence,summary,detail_file,detail_count
FOO-011,Cherry in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Bought by weight, eaten faster than intended. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-011.csv,5
FOO-012,Mulberry in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Straight off the branch, purple hands for the afternoon. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-012.csv,5
FOO-013,Melon in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Cold, cut into a grid, eaten off the skin. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-013.csv,5
FOO-014,Banana in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Two for a small coin, and a whole afternoon fixed. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-014.csv,5
FOO-015,Jollof rice,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,NG,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"The pot everyone has an opinion about. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-015.csv,5
FOO-016,Egusi and pounded yam,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,NG,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Made properly, it takes the afternoon. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-016.csv,5
FOO-017,Suya at night,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,money_small,Needs a small amount of money,money,1,NG,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Bought at a roadside grill after dark. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-017.csv,5
FOO-018,Pepper soup,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,NG,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Made when somebody is ill, or cold, or sad. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-018.csv,5
FOO-019,Puff-puff,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,NG,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Fried in batches, eaten faster than they cool. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-019.csv,5
FOO-020,Moi moi,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,time,Needs a quantity of uninterrupted time,work;power,2,NG,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Steamed in leaves, and the leaves matter. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-020.csv,5
FOO-021,Ghormeh sabzi,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,time,Needs a quantity of uninterrupted time,work;power,2,IR,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Herbs, slow, and better the next day. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-021.csv,5
FOO-022,Tahdig,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,IR,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"The crisp layer at the bottom, fought over politely. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-022.csv,5
FOO-023,Ash-e reshteh,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,IR,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Made in quantity, for people who turn up. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-023.csv,5
FOO-024,Kabab with raw onion,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,money_small,Needs a small amount of money,money,1,IR,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Off a skewer, with flatbread and sumac. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-024.csv,5
FOO-025,Faloodeh,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,money_small,Needs a small amount of money,money,1,IR,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Rosewater, noodles, ice, and lime. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-025.csv,5
FOO-026,Musakhan,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,PS,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Chicken, olive oil, sumac, on taboun bread. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-026.csv,5
FOO-027,Maqluba,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,PS,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Flipped out of the pot at the table, to applause or silence. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-027.csv,5
FOO-028,Knafeh,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,money_small,Needs a small amount of money,money,1,PS,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Orange, hot, stringy, shared standing up. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-028.csv,5
FOO-029,Taboun bread with za'atar,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,PS,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Warm, with oil, for breakfast. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-029.csv,5
FOO-030,Maltout,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,PS,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Flatbread with olive oil, eaten during the harvest. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-030.csv,5
FOO-031,Thanksgiving leftovers,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,US,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Better than the meal, eaten from the fridge. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-031.csv,5
FOO-032,A diner breakfast,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,money_small,Needs a small amount of money,money,1,US,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Eggs, coffee refilled without asking. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-032.csv,5
FOO-033,Barbecue in a yard,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,US,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Somebody's uncle is in charge and will not be moved. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-033.csv,5
FOO-034,Soup someone dropped off,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,*,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Left on the step when you were unwell. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-034.csv,5
FOO-035,Bread out of the oven,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,time,Needs a quantity of uninterrupted time,work;power,2,*,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Cut too early, on purpose. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-035.csv,5
FOO-036,"Tea, properly made",FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"By somebody who knows how you take it. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-036.csv,5
FOO-037,The meal after a fast,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,power,1,*,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"The first mouthful is not really about food. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-037.csv,5
FOO-038,Street food at 2am,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,money_small,Needs a small amount of money,money,1,*,primary,,2000,2026,4,4,2,40,0,0,4,estimate,low,"Eaten standing, and it is never that good in daylight. A cooked thing, made or bought, and mostly the point is who is at the table rather than what is on it.",details/FOO-038.csv,5
FOO-039,Sunday lunch that runs to five o'clock,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-039.csv,5
FOO-040,Eating standing up in a kitchen with one other person,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,4,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-040.csv,5
FOO-041,A meal cooked for you when you were ill,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-041.csv,5
FOO-042,Breaking a fast with a room full of people,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-042.csv,5
FOO-043,Feeding someone who turned up unannounced,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,4,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-043.csv,5
FOO-044,"The first meal in a new home, off boxes",FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-044.csv,5
FOO-045,"Eating alone, well, on purpose",FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,4,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-045.csv,5
FOO-046,A shared plate where nobody is counting,FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,4,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-046.csv,5
FOO-047,"Leftovers at midnight, standing at the fridge",FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,3,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-047.csv,5
FOO-048,"The meal after a funeral, where people finally laugh",FOO,"Food, cooking, and eating it with people",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,0,60,0,0,5,estimate,low,"A meal defined by its circumstances rather than its contents. This is the category the longitudinal research keeps pointing at: not what was eaten, but who was there and whether you felt safe.",details/FOO-048.csv,5
TRV-001,A holiday in the next town over,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,travel_local,Needs to move around your own town,transport;security,2,*,primary,,2000,2026,4,3,0,20,0,21,5,estimate,low,Forty minutes and a different market. Nothing to do and nowhere to be. Administratively free.,details/TRV-001.csv,5
TRV-002,Visiting family in the next town over,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,family,1,*,primary,,2000,2026,5,3,0,20,0,30,5,estimate,low,Forty minutes and a different market. The reason most people cross a border at all. Administratively free.,details/TRV-002.csv,5
TRV-003,A wedding in the next town over,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,0,20,30,180,5,estimate,low,Forty minutes and a different market. A date fixed months out that will not move. Administratively free.,details/TRV-003.csv,5
TRV-004,A funeral in the next town over,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,discretion,1,*,primary,,2000,2026,4,3,0,20,0,3,5,estimate,low,"Forty minutes and a different market. No notice, no flexibility, and you must be there. Administratively free.",details/TRV-004.csv,5
TRV-005,Studying in the next town over,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work;money,4,*,primary,,2000,2026,5,3,0,20,90,365,5,estimate,low,Forty minutes and a different market. Months of paperwork before the first lecture. Administratively free.,details/TRV-005.csv,5
TRV-006,Work or a conference in the next town over,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work,3,*,primary,,2000,2026,3,3,0,20,14,120,5,estimate,low,"Forty minutes and a different market. Somebody else is paying, which changes everything. Administratively free.",details/TRV-006.csv,5
TRV-007,A holiday in the village your family is from,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,travel_domestic,Needs to cross your own country,transport;security;police,3,*,primary,,2000,2026,4,3,20,300,0,21,5,estimate,low,Where the older graves are. Nothing to do and nowhere to be. Administratively free.,details/TRV-007.csv,5
TRV-008,Visiting family in the village your family is from,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,family,1,*,primary,,2000,2026,5,3,20,300,0,30,5,estimate,low,Where the older graves are. The reason most people cross a border at all. Administratively free.,details/TRV-008.csv,5
TRV-009,A wedding in the village your family is from,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,20,300,30,180,5,estimate,low,Where the older graves are. A date fixed months out that will not move. Administratively free.,details/TRV-009.csv,5
TRV-010,A funeral in the village your family is from,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,discretion,1,*,primary,,2000,2026,4,3,20,300,0,3,5,estimate,low,"Where the older graves are. No notice, no flexibility, and you must be there. Administratively free.",details/TRV-010.csv,5
TRV-011,Studying in the village your family is from,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work;money,4,*,primary,,2000,2026,5,3,20,300,90,365,5,estimate,low,Where the older graves are. Months of paperwork before the first lecture. Administratively free.,details/TRV-011.csv,5
TRV-012,Work or a conference in the village your family is from,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work,3,*,primary,,2000,2026,3,3,20,300,14,120,5,estimate,low,"Where the older graves are. Somebody else is paying, which changes everything. Administratively free.",details/TRV-012.csv,5
TRV-013,A holiday in the coast,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,travel_domestic,Needs to cross your own country,transport;security;police,3,*,primary,,2000,2026,4,3,20,300,0,21,5,estimate,low,"Two days, and the smell changes before you see it. Nothing to do and nowhere to be. Administratively free.",details/TRV-013.csv,5
TRV-014,Visiting family in the coast,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,family,1,*,primary,,2000,2026,5,3,20,300,0,30,5,estimate,low,"Two days, and the smell changes before you see it. The reason most people cross a border at all. Administratively free.",details/TRV-014.csv,5
TRV-015,A wedding in the coast,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,20,300,30,180,5,estimate,low,"Two days, and the smell changes before you see it. A date fixed months out that will not move. Administratively free.",details/TRV-015.csv,5
TRV-016,A funeral in the coast,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,discretion,1,*,primary,,2000,2026,4,3,20,300,0,3,5,estimate,low,"Two days, and the smell changes before you see it. No notice, no flexibility, and you must be there. Administratively free.",details/TRV-016.csv,5
TRV-017,Studying in the coast,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work;money,4,*,primary,,2000,2026,5,3,20,300,90,365,5,estimate,low,"Two days, and the smell changes before you see it. Months of paperwork before the first lecture. Administratively free.",details/TRV-017.csv,5
TRV-018,Work or a conference in the coast,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work,3,*,primary,,2000,2026,3,3,20,300,14,120,5,estimate,low,"Two days, and the smell changes before you see it. Somebody else is paying, which changes everything. Administratively free.",details/TRV-018.csv,5
TRV-019,A holiday in the capital,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,travel_domestic,Needs to cross your own country,transport;security;police,3,*,primary,,2000,2026,4,3,20,300,0,21,5,estimate,low,"Loud, expensive, and worth it once a year. Nothing to do and nowhere to be. Administratively free.",details/TRV-019.csv,5
TRV-020,Visiting family in the capital,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,family,1,*,primary,,2000,2026,5,3,20,300,0,30,5,estimate,low,"Loud, expensive, and worth it once a year. The reason most people cross a border at all. Administratively free.",details/TRV-020.csv,5
TRV-021,A wedding in the capital,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,20,300,30,180,5,estimate,low,"Loud, expensive, and worth it once a year. A date fixed months out that will not move. Administratively free.",details/TRV-021.csv,5
TRV-022,A funeral in the capital,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,discretion,1,*,primary,,2000,2026,4,3,20,300,0,3,5,estimate,low,"Loud, expensive, and worth it once a year. No notice, no flexibility, and you must be there. Administratively free.",details/TRV-022.csv,5
TRV-023,Studying in the capital,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work;money,4,*,primary,,2000,2026,5,3,20,300,90,365,5,estimate,low,"Loud, expensive, and worth it once a year. Months of paperwork before the first lecture. Administratively free.",details/TRV-023.csv,5
TRV-024,Work or a conference in the capital,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work,3,*,primary,,2000,2026,3,3,20,300,14,120,5,estimate,low,"Loud, expensive, and worth it once a year. Somebody else is paying, which changes everything. Administratively free.",details/TRV-024.csv,5
TRV-025,A holiday in the mountains,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,travel_domestic,Needs to cross your own country,transport;security;police,3,*,primary,,2000,2026,4,3,20,300,0,21,5,estimate,low,Cold at night in a country that is not cold. Nothing to do and nowhere to be. Administratively free.,details/TRV-025.csv,5
TRV-026,Visiting family in the mountains,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,family,1,*,primary,,2000,2026,5,3,20,300,0,30,5,estimate,low,Cold at night in a country that is not cold. The reason most people cross a border at all. Administratively free.,details/TRV-026.csv,5
TRV-027,A wedding in the mountains,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,,0,*,primary,,2000,2026,5,3,20,300,30,180,5,estimate,low,Cold at night in a country that is not cold. A date fixed months out that will not move. Administratively free.,details/TRV-027.csv,5
TRV-028,A funeral in the mountains,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,others,Needs at least one other person,discretion,1,*,primary,,2000,2026,4,3,20,300,0,3,5,estimate,low,"Cold at night in a country that is not cold. No notice, no flexibility, and you must be there. Administratively free.",details/TRV-028.csv,5
TRV-029,Studying in the mountains,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work;money,4,*,primary,,2000,2026,5,3,20,300,90,365,5,estimate,low,Cold at night in a country that is not cold. Months of paperwork before the first lecture. Administratively free.,details/TRV-029.csv,5
TRV-030,Work or a conference in the mountains,TRV,"Travel, elsewhere, and coming back",most,"Available to most people, given ordinary circumstances",any,Any age,institution,"Needs a school, employer, bank or state to cooperate",credential;discretion;work,3,*,primary,,2000,2026,3,3,20,300,14,120,5,estimate,low,"Cold at night in a country that is not cold. Somebody else is paying, which changes everything. Administratively free.",details/TRV-030.csv,5
