issue_id,title,category,category_name,applies_to,applies_to_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
AIR-003,Being the nationality the airline worries about,AIR,"Airports abroad, screening and the second room",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,3,4,partial,partial,100,3000,1,10,5,estimate,low,"Carriers bear fines for bringing inadmissible passengers, so they screen before departure - which moves part of the border to the check-in desk in Lagos.",details/AIR-003.csv,4
AIR-004,The exit interview at your own departure,AIR,"Airports abroad, screening and the second room",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2003,2026,,4,4,partial,partial,20,1000,1,5,5,estimate,low,"Leaving Nigeria involves its own layers - immigration, security, sometimes a trafficking screening that is necessary in design and intrusive in execution, and which falls hardest on young women travelling alone.",details/AIR-004.csv,4
BOR-001,Refused entry with valid documents,BOR,"Borders, entry refusals and being turned around",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,5,3,yes,no,500,10000,1,14,5,legal,high,"A visa is permission to ask. Documented cases show Nigerians with valid visas, return tickets, accommodation and funds refused entry, detained for days, and removed - sometimes to a third country.",details/BOR-001.csv,4
BOR-002,Refused for travelling without a man,BOR,"Borders, entry refusals and being turned around",nigerian_women,Requires both Nigerian nationality and being female,primary,,SA,2012,2026,,5,2,yes,no,1000,8000,1,10,5,journalism,high,"The clearest single intersection in this dataset: a state refused entry to hundreds of Nigerian women, not for anything about them, but because they arrived without a husband or male relative.",details/BOR-002.csv,5
BOR-003,"Coming home, and the desk at that end too",BOR,"Borders, entry refusals and being turned around",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,NG,2000,2026,,3,4,partial,partial,20,500,1,30,4,estimate,low,"Return is not frictionless either. Arrival in Nigeria involves its own informal costs, and for deportees and returnees a reception that is administrative rather than supportive.",details/BOR-003.csv,4
STA-001,Claiming asylum from a country nobody calls a war,STA,"Status abroad: asylum, deportation and the years in between",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,"CA,GB,DE",2000,2026,,5,4,yes,partial,2000,30000,365,2555,5,official,high,"Nigeria is not at war in the way decision-makers picture, so a Nigerian claim starts from a presumption of safety and must dismantle it - which is a different and harder task than arriving from a recognised conflict.",details/STA-001.csv,8
STA-002,"Germany: refused, and deported to Italy",STA,"Status abroad: asylum, deportation and the years in between",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,"DE,IT",2015,2026,,4,4,yes,partial,1000,20000,180,1825,5,journalism,medium,"The Dublin system means a Nigerian claim in Germany is frequently not decided on its merits at all, but declared inadmissible and routed to the first EU country of entry - and if that transfer fails, the clock restarts.",details/STA-002.csv,6
STA-003,The years with no status and no exit,STA,"Status abroad: asylum, deportation and the years in between",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,5,4,yes,partial,2000,50000,365,3650,5,estimate,low,"Between refusal and removal there is a condition with no name: not lawful, not removable, not permitted to work, and not permitted to leave and return.",details/STA-003.csv,5
STA-004,"Regularising, and the fee that is the barrier",STA,"Status abroad: asylum, deportation and the years in between",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,"GB,US",2000,2026,,4,4,yes,partial,1500,40000,180,3650,5,estimate,low,"Where a route to status exists, it is priced - and the price is set at a level that functions as the actual eligibility criterion.",details/STA-004.csv,5
REP-001,Being read as a fraud before you speak,REP,The 419 inheritance: being read as a fraud before you speak,nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,1990,2026,,5,5,partial,no,2000,200000,0,0,5,journalism,high,"No other nationality in this set of datasets carries a scam as its global shorthand. 'Nigerian prince' is a punchline in languages that have no other Nigerian referent, and it arrives in the room before the person does.",details/REP-001.csv,7
REP-002,"Yahoo boys, and the men who are not them",REP,The 419 inheritance: being read as a fraud before you speak,nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2000,2026,,4,5,partial,partial,1000,100000,0,0,5,estimate,low,"The domestic term for internet fraudsters has become an international descriptor for young Nigerian men generally, including the overwhelming majority who are not involved.",details/REP-002.csv,5
REP-003,"Guilty until verified, at every institution",REP,The 419 inheritance: being read as a fraud before you speak,nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2000,2026,,4,5,partial,partial,200,20000,7,365,5,estimate,low,"The reputational default converts into procedure: more documents, more checks, longer holds, and a higher bar for the same transaction.",details/REP-003.csv,5
REP-004,What it does to a person to be a punchline,REP,The 419 inheritance: being read as a fraud before you speak,nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2000,2026,,4,5,no,partial,0,0,0,0,5,estimate,low,Distinct from the economic cost: the internal effect of belonging to a nationality that is a globally recognised joke about dishonesty.,details/REP-004.csv,5
FIN-001,Twenty years without PayPal,FIN,"Banking, cards and payment exclusion",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,NG,2004,2026,,5,5,yes,partial,1000,100000,0,0,5,journalism,high,"From 2004 to 2026 Nigerians could not receive money through the world's default consumer payment platform. The exclusion was explicit, national, and outlasted the conditions given for it.",details/FIN-001.csv,5
FIN-002,The card that stops working at the border,FIN,"Banking, cards and payment exclusion",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,NG,2015,2026,,4,5,yes,partial,100,10000,0,0,5,journalism,medium,About 120 million payment cards circulate in Nigeria and the overwhelming majority cannot be used abroad or online internationally - by design of the domestic rails and by bank-imposed ceilings.,details/FIN-002.csv,5
FIN-003,"Remittance in, difficulty out",FIN,"Banking, cards and payment exclusion",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,NG,2015,2026,,4,5,partial,partial,200,20000,0,0,4,estimate,low,"Money flows into Nigeria at scale and with official encouragement. Money flowing out, or being received by a Nigerian business from abroad, meets a different regime entirely.",details/FIN-003.csv,4
FIN-004,Being de-risked as a category,FIN,"Banking, cards and payment exclusion",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2000,2026,,4,4,partial,no,500,50000,14,365,5,estimate,low,"Compliance departments manage country risk by declining the country. The individual customer is never assessed, and never told that is what happened.",details/FIN-004.csv,6
DIG-001,Being blocked for where your IP says you are,DIG,"Geoblocking, platforms and digital redlining",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,4,5,yes,partial,200,20000,0,0,5,forum,medium,"Merchants and platforms exclude Nigeria at the network level. The block is national in scope, trivially evaded by the people it targets, and binding on everyone who is not trying to evade anything.",details/DIG-001.csv,7
DIG-002,Platforms that flag you by default,DIG,"Geoblocking, platforms and digital redlining",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2010,2026,,4,5,partial,partial,500,30000,7,180,5,estimate,low,"Freelance marketplaces, marketplaces and social platforms apply elevated scrutiny to Nigerian accounts, with suspension arriving before any explanation.",details/DIG-002.csv,5
DIG-003,The internet costs more and works less,DIG,"Geoblocking, platforms and digital redlining",in_nigeria,"Faced by anyone living in Nigeria, any gender",secondary,,NG,2000,2026,,3,5,partial,partial,100,2000,0,0,4,estimate,low,"Before any discrimination, the connection itself is expensive relative to income, unreliable, and dependent on the power supply in PWR-001.",details/DIG-003.csv,4
SEC-001,Kidnapping as an industry,SEC,"Insecurity: kidnapping, banditry and armed groups",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2014,2026,,5,5,partial,no,500,60000,1,365,5,official,medium,"What began as ideological abduction became a ransom business with a price list. It is low-risk, lucrative, and now operates across most of the country rather than one corner of it.",details/SEC-001.csv,6
SEC-002,Taking the schoolchildren,SEC,"Insecurity: kidnapping, banditry and armed groups",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2014,2026,,5,4,yes,no,0,60000,1,3650,5,official,high,"Mass school abduction became a repeatable tactic after 2014. The specific consequence is that education itself becomes a risk calculation, and it is calculated differently for daughters.",details/SEC-002.csv,7
SEC-003,Being displaced inside your own country,SEC,"Insecurity: kidnapping, banditry and armed groups",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2014,2026,,5,4,yes,no,500,20000,180,3650,5,official,medium,"Millions have left home without crossing a border, which means no refugee status, no agency mandate, and frequently no camp - just another poor village absorbing people it cannot feed.",details/SEC-003.csv,6
SEC-004,The security you have to buy,SEC,"Insecurity: kidnapping, banditry and armed groups",in_nigeria,"Faced by anyone living in Nigeria, any gender",secondary,,NG,2000,2026,,4,5,partial,partial,200,20000,0,0,4,estimate,low,"Where the state does not provide protection, households and businesses purchase it - which makes safety an income-tiered product and leaves everyone else with the risk.",details/SEC-004.csv,4
POL-001,The checkpoint that wants twenty naira,POL,"Police, extortion and what happened at Lekki",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,4,5,partial,partial,50,2000,5,60,5,estimate,low,"Routine police extortion is a small, constant, unavoidable levy on movement, and refusing it is more expensive than paying.",details/POL-001.csv,4
POL-002,What happened at Lekki,POL,"Police, extortion and what happened at Lekki",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2020,2026,,5,2,yes,no,0,0,0,0,5,official,high,"The clearest documented case of the state using lethal force on its own unarmed citizens in this dataset - established by a judicial panel, denied by the government, and unpunished.",details/POL-002.csv,6
POL-003,Reporting a crime as a woman,POL,"Police, extortion and what happened at Lekki",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,5,4,yes,no,20,2000,1,365,5,estimate,low,"The institution that would record a sexual or domestic offence is frequently the one that dissuades, mocks, charges a fee, or suggests the family settle it.",details/POL-003.csv,5
PWR-001,"The grid that goes off, nationally",PWR,"Electricity, fuel and the generator economy",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,5,5,partial,partial,300,8000,20,200,5,official,high,"Not outages in the ordinary sense. The national grid collapses entirely, repeatedly, and everything downstream of electricity is built around the assumption that it will.",details/PWR-001.csv,8
PWR-002,Paying for darkness,PWR,"Electricity, fuel and the generator economy",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2015,2026,,4,5,partial,partial,100,2000,5,90,5,official,high,"More than half of registered electricity customers have no meter, so they are billed by estimate - and the estimates are systematically wrong in one direction.",details/PWR-002.csv,6
ECO-001,The morning the fuel price doubled,ECO,"Inflation, subsidy removal and the cost of an ordinary month",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2023,2026,,5,5,partial,no,300,8000,0,0,5,official,high,"On 29 May 2023 the fuel subsidy was removed in a sentence, and the price of moving anything - people, food, goods - repriced within weeks.",details/ECO-001.csv,7
ECO-002,Running a household at 34% inflation,ECO,"Inflation, subsidy removal and the cost of an ordinary month",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2023,2026,,4,5,partial,partial,200,5000,0,0,5,estimate,low,"The management of a shrinking budget against rising prices is daily, skilled, unpaid work, and it is overwhelmingly done by women.",details/ECO-002.csv,6
ECO-003,Being paid in a currency that is leaving,ECO,"Inflation, subsidy removal and the cost of an ordinary month",in_nigeria,"Faced by anyone living in Nigeria, any gender",secondary,,NG,2015,2026,,4,5,partial,partial,500,50000,0,0,5,estimate,low,"Naira earnings against dollar-denominated costs - school fees abroad, software, medical treatment, imported goods - means a salary that falls in real terms without anyone cutting it.",details/ECO-003.csv,4
HLT-001,A health system with a third of its doctors licensed elsewhere,HLT,"The health system, and the people who left it",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2015,2026,,5,5,partial,no,50,5000,1,365,5,official,high,"Nigeria trains health workers and then loses them, at a rate that has converted a staffing problem into a structural one.",details/HLT-001.csv,5
HLT-002,Japa: the exit as a national event,HLT,"The health system, and the people who left it",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,"NG,GB",2015,2026,,4,5,no,no,2000,30000,180,1095,5,official,high,"Emigration of skilled workers is not a trickle or an aspiration. It is measurable in the destination countries' own registration data, and the health sector is where it is most visible.",details/HLT-002.csv,9
HLT-003,"Being treated abroad, and being suspected there",HLT,"The health system, and the people who left it",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2000,2026,,3,4,partial,partial,500,30000,30,730,5,estimate,low,"Nigerian patients and Nigerian-trained clinicians abroad both encounter a presumption - of health tourism in one direction, of inadequate training in the other.",details/HLT-003.csv,4
MAT-001,One of the most dangerous places in the world to give birth,MAT,"Maternal health, obstructed labour and fistula",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,5,5,yes,no,50,5000,1,365,5,official,high,"Nigeria carries a share of global maternal deaths far out of proportion to its population, and the northern ratio is several times the national one.",details/MAT-001.csv,6
MAT-002,Obstetric fistula: the injury of waiting too long,MAT,"Maternal health, obstructed labour and fistula",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,5,4,yes,partial,100,3000,365,10950,5,official,high,"Prolonged obstructed labour without a caesarean produces an injury that is preventable, repairable, and in Nigeria enormously common - and it ends the woman's social life as reliably as it damages her body.",details/MAT-002.csv,7
MAT-003,Deciding whether to have a child at all,MAT,"Maternal health, obstructed labour and fistula",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,4,5,partial,no,10,500,365,7300,5,estimate,low,"Contraception, spacing and the number of pregnancies are frequently not the woman's decision to make, which converts every other maternal risk into a recurring one.",details/MAT-003.csv,5
MAT-004,"The cost of a delivery, in cash, on the night",MAT,"Maternal health, obstructed labour and fistula",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,5,yes,partial,50,3000,0,0,5,estimate,low,"Facility delivery is priced and paid at the point of use, which makes the safest option the one that requires money to be available at 2am.",details/MAT-004.csv,4
WOM-001,The bills that were rejected,WOM,"Women's legal status: marriage, inheritance, the bills that failed",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2016,2026,,5,3,yes,partial,0,0,0,0,5,official,high,"Nigeria's legislature has repeatedly declined to pass gender equality provisions. The refusals are recent, recorded, and are the reason several other issues in this dataset have no remedy.",details/WOM-001.csv,5
WOM-002,Being an indigene of nowhere,WOM,"Women's legal status: marriage, inheritance, the bills that failed",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,4,5,yes,no,500,50000,30,365,5,estimate,low,"Indigeneship determines access to scholarships, state employment, quotas and land. It follows birth, not marriage - so a married woman is frequently treated as belonging to neither state.",details/WOM-002.csv,5
WOM-003,Married before eighteen,WOM,"Women's legal status: marriage, inheritance, the bills that failed",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,5,5,yes,no,5000,200000,3650,18250,5,official,high,"A third of Nigerian girls marry before 18, and in several northern states it is nearly two thirds. The constitutional provision that would have settled the age contains a clause that undoes it.",details/WOM-003.csv,7
WOM-004,"Inheriting, in theory",WOM,"Women's legal status: marriage, inheritance, the bills that failed",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2014,2026,,5,4,yes,partial,1000,200000,365,3650,5,legal,high,"The Supreme Court held in 2014 that customary law barring daughters from inheriting is unconstitutional. Twelve years on, most people affected have not heard of the judgment and compliance is very low.",details/WOM-004.csv,5
WOM-005,Being a widow,WOM,"Women's legal status: marriage, inheritance, the bills that failed",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,5,4,yes,no,500,100000,28,180,5,official,high,"Widowhood in much of Nigeria triggers a set of practices that strip property, restrict movement and impose ritual humiliation - enforced by the husband's family and frequently by other women.",details/WOM-005.csv,9
BOD-001,Cutting,BOD,"The body: cutting, widowhood rites and what is done to it",nigerian_women,Requires both Nigerian nationality and being female,primary,,NG,2000,2026,,5,4,yes,no,50,5000,1,10950,5,official,high,"Female genital mutilation is prohibited by federal law that applies directly in one federal territory, prohibited by state law in thirteen states, and practised in the regions where prevalence is highest.",details/BOD-001.csv,7
BOD-002,Whose body it is treated as,BOD,"The body: cutting, widowhood rites and what is done to it",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,5,partial,partial,0,0,0,0,5,estimate,low,"Across marriage, health and inheritance law the recurring structure is that decisions about a woman's body are made with reference to a man's position.",details/BOD-002.csv,4
BOD-003,"Menstruation, and what it costs to manage",BOD,"The body: cutting, widowhood rites and what is done to it",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,3,5,partial,partial,20,300,20,60,4,estimate,low,"Products, privacy, water and disposal are all purchased or absent, and where they are absent the consequence is measured in school days.",details/BOD-003.csv,4
BOD-004,Being visible in public as a woman,BOD,"The body: cutting, widowhood rites and what is done to it",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,3,5,partial,partial,100,3000,0,0,5,estimate,low,"Street harassment, transport harassment and the assumption of availability are a continuous tax on moving through public space.",details/BOD-004.csv,4
TRF-001,Benin City to Italy,TRF,"Trafficking, the Gulf, and being sent somewhere and left",nigerian_women,Requires both Nigerian nationality and being female,primary,,"NG,IT,LY",2000,2026,,5,4,yes,no,40000,100000,365,3650,5,official,high,"One city in Edo State became the main hub for sex trafficking between West Africa and Europe. The route is documented, the debt is priced, and the binding mechanism is an oath.",details/TRF-001.csv,8
TRF-002,The Gulf contract,TRF,"Trafficking, the Gulf, and being sent somewhere and left",nigerian_women,Requires both Nigerian nationality and being female,primary,,"LB,SA,OM,KW,QA,IQ",2010,2026,,5,4,yes,no,500,20000,365,2555,5,ngo,high,"Recruited legally as a housekeeper, flown out with a signed contract, and then unable to leave the country without the employer's permission. The brief calls this being sent somewhere and dumped; the legal name is kafala.",details/TRF-002.csv,8
TRF-003,"Knowing, and going anyway",TRF,"Trafficking, the Gulf, and being sent somewhere and left",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,4,partial,no,0,0,0,0,5,estimate,low,"Awareness campaigns assume the women do not know. Many do. The decision is made against the alternatives available at home, and the alternatives are the rest of this dataset.",details/TRF-003.csv,5
TRF-004,Being suspected of being trafficked,TRF,"Trafficking, the Gulf, and being sent somewhere and left",nigerian_women,Requires both Nigerian nationality and being female,secondary,,*,2005,2026,,3,4,partial,partial,100,2000,1,30,5,estimate,low,"The mirror of TRF-001: because the route is well documented, young Nigerian women travelling legitimately are screened, doubted and delayed on suspicion of being victims.",details/TRF-004.csv,4
EDU-001,A university year that does not happen,EDU,"Education, strikes and a certificate nobody abroad trusts",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,4,4,yes,partial,500,15000,180,1460,5,official,high,"Public university teaching stops for months at a time. Students are not taught, not examined, not graduated, and not compensated.",details/EDU-001.csv,5
EDU-002,The children who are not in school,EDU,"Education, strikes and a certificate nobody abroad trusts",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,5,5,yes,no,5000,200000,365,5475,5,official,high,"Nigeria holds one of the largest out-of-school populations in the world, and the majority of those children are girls.",details/EDU-002.csv,7
EDU-003,A certificate that is discounted abroad,EDU,"Education, strikes and a certificate nobody abroad trusts",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,4,5,partial,partial,300,20000,90,1460,5,estimate,low,"Nigerian qualifications attract verification, equivalency downgrades and outright scepticism - a discount applied to the document rather than the holder.",details/EDU-003.csv,5
EDU-004,"NYSC, and a year the state assigns you",EDU,"Education, strikes and a certificate nobody abroad trusts",in_nigeria,"Faced by anyone living in Nigeria, any gender",secondary,,NG,2000,2026,,3,4,yes,no,200,3000,365,365,4,estimate,low,"The National Youth Service Corps posts graduates for a year to a state not of their choosing, and completion is required for much formal employment.",details/EDU-004.csv,4
HAR-001,Sex for grades,HAR,"Harassment: the lecturer, the manager, the open secret",nigerian_women,Requires both Nigerian nationality and being female,primary,,"NG,GH",2000,2026,,5,4,yes,no,0,50000,180,1460,5,journalism,high,"The transaction is well enough known to have a name, and it was documented on camera at two of the region's most prestigious universities.",details/HAR-001.csv,6
HAR-002,The workplace version,HAR,"Harassment: the lecturer, the manager, the open secret",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,5,partial,partial,1000,50000,0,0,5,estimate,low,"The same structure moves into employment: a man with discretion over hiring, confirmation, promotion or payment, and no functioning complaint route.",details/HAR-002.csv,4
HAR-003,Being harassed and being the one who is judged,HAR,"Harassment: the lecturer, the manager, the open secret",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,5,partial,no,0,0,0,0,5,estimate,low,"Disclosure carries a reputational cost to the woman, which is why prevalence is understated everywhere including in this dataset.",details/HAR-003.csv,4
WRK-001,The statistics that say there is no problem,WRK,"Work, unemployment and what a degree is worth",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2020,2026,,4,5,partial,partial,500,30000,0,0,5,official,high,"Nigeria's headline unemployment rate is around 4%, which is lower than Germany's. The number is not wrong; it is measuring something other than what people mean by unemployment.",details/WRK-001.csv,6
WRK-002,"Working informally, which is most people",WRK,"Work, unemployment and what a degree is worth",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,4,5,partial,partial,1000,50000,0,0,5,estimate,low,"93% of employment is informal, which means no contract, no pension, no sick pay, no maternity provision, and no mechanism when something goes wrong.",details/WRK-002.csv,5
WRK-003,"The name on the CV, abroad",WRK,"Work, unemployment and what a degree is worth",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,"US,GB,*",2004,2026,,4,5,partial,no,5000,200000,0,0,5,official,high,"Before any question of qualifications, the name on the application changes the callback probability - which is one of the best-evidenced findings in labour economics.",details/WRK-003.csv,6
WRK-004,What a woman's work is assumed to be,WRK,"Work, unemployment and what a degree is worth",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,5,partial,partial,2000,100000,0,0,5,estimate,low,High female self-employment and informality are read as entrepreneurial culture. They are the residue of exclusion from formal work.,details/WRK-004.csv,6
NAM-001,A name the form cannot hold,NAM,"Names: spelling, screening and identity mismatch",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,3,5,partial,partial,100,5000,14,730,5,estimate,low,"Nigerian names are long, tonal, frequently multi-part, and carry diacritics that systems strip. The result is a person whose documents do not agree with each other, through nobody's error.",details/NAM-001.csv,6
NAM-002,The identity is frozen before you reach the airport,NAM,"Names: spelling, screening and identity mismatch",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2009,2026,,4,4,yes,partial,200,3000,1,30,5,official,high,"Air travel locks a vetted identity at booking. A mismatch found later cannot be fixed at the desk by anyone, for technical reasons rather than unhelpfulness.",details/NAM-002.csv,4
NAM-003,Sharing a name with somebody,NAM,"Names: spelling, screening and identity mismatch",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2001,2026,,4,3,partial,partial,300,20000,30,1095,5,estimate,low,"Name-based screening produces false positives, and clearing one is not a thing that can be done once.",details/NAM-003.csv,4
ARB-001,"The officer who decided, and the one who would not have",ARB,"Discretion, clerical error and the officer who decided",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,4,5,partial,partial,200,50000,7,1095,5,estimate,low,"A large share of the hurdles in this dataset are not policy. They are one person's decision on one day, which another person would have made differently, and which is then permanent.",details/ARB-001.csv,4
ARB-002,The error that becomes your record,ARB,"Discretion, clerical error and the officer who decided",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,4,4,partial,partial,200,20000,60,1460,5,estimate,low,"A wrong date, spelling or status code entered once is copied forward by every later system, and the burden of disproving it is entirely the person's.",details/ARB-002.csv,5
